longitude,latitude,livingArea,years_since_built,GasStation_Count,GolfCourse_Count,average_bar_rating,household_income,TraderJoes_distance,best_school_rating,coast_distance,price
-117.79656,34.02848,2033.0,58.0,8.0,2.0,-1.0,105712.0,4.16160023,5.0,24.61852324,1206000
-119.27773,34.283024,1200.0,76.0,14.0,0.0,-1.0,80363.0,1.80574261,5.0,0.86407718,1242000
-117.089,32.9265,1404.0,28.0,9.0,0.0,-1.0,169448.0,1.73452588,5.0,9.71676627,1320000
-117.16682,32.958607,3864.0,21.0,2.0,4.0,-1.0,146754.0,1.43225461,5.0,4.85238061,2250000
-122.260414,37.567238,1340.0,59.0,5.0,1.0,3.580000000000001,182699.0,2.47087685,5.0,0.27487488,2125000
-122.41343,37.66016,1150.0,69.0,20.0,1.0,-1.0,126916.0,1.81938475,5.0,1.10262179,1348000
-119.721535,34.41729,950.0,92.0,16.0,2.0,-1.0,76130.0,1.54533833,4.9,1.43985128,1600000
-117.78474,33.848656,2700.0,56.0,4.0,2.0,4.0,133894.0,2.85851568,5.0,18.10439111,1450000
-122.46881,37.739773,2294.0,100.0,20.0,2.0,4.300000000000001,200082.0,1.00178958,5.0,2.17384508,2000000
-118.42709,34.011223,1297.0,72.0,24.0,1.0,4.4,100344.0,0.69210315,5.0,3.32539126,1450000
-118.3521,34.091488,2151.0,100.0,31.0,1.0,-1.0,87339.0,0.19120942,5.0,10.10260062,1195000
-117.77938,33.851624,1812.0,55.0,4.0,2.0,4.0,133894.0,2.72396164,5.0,18.43523077,1115000
-117.06643,33.044525,2212.0,48.0,9.0,5.0,4.3,125609.0,3.8573574,5.0,11.92621782,1480000
-121.967155,37.542877,1434.0,66.0,18.0,1.0,4.3,143146.0,1.03939275,5.0,3.5397124,1370000
-118.345474,34.091965,1978.0,71.0,35.0,1.0,-1.0,87339.0,0.25469328,5.0,10.40326363,1500000
-121.956985,37.361526,3689.0,62.0,16.0,1.0,-1.0,119356.0,2.97173712,5.0,4.11564834,1600000
