livingArea,years_since_built,GasStation_Count,GolfCourse_Count,average_bar_rating,household_income,TraderJoes_distance,best_school_rating,coast_distance,price
7.254177846456518,15.0,26.0,0.0,4.663636363636364,12.08271221005554,0.8722841678241152,5.0,0.36840715,1500000
7.545918151209323,36.0,14.0,0.0,4.175,11.87608136208865,0.5022730808119891,5.0,1.10556162,1675000
8.335671314792847,39.0,22.0,0.0,-1.0,11.377563827039552,0.30565963091078335,5.0,10.1049993,2400000
8.174702882469461,46.0,16.0,0.0,-1.0,11.666667489880869,0.7266407943736236,5.0,15.74766073,1475000
7.273092595999522,61.0,15.0,0.0,-1.0,11.722651401343093,0.5112477086756211,5.0,0.84802392,1170000
7.971776122880628,96.0,21.0,0.0,-1.0,11.377563827039552,0.3785795350700858,5.0,10.14310146,2475000
7.309212365692763,20.0,3.0,2.0,-1.0,11.824826867300077,1.3725824536246822,5.0,0.14652439,1600000
7.846980982138788,74.0,16.0,1.0,4.65,11.377563827039552,1.030878748890011,5.0,11.42306718,2221711
7.679713639966372,35.0,5.0,4.0,4.477777777777778,12.133507329024972,0.9894748828650528,5.0,1.82464466,2050000
8.152774052744075,21.0,1.0,1.0,-1.0,12.024580744476696,1.399356244583295,5.0,8.24758039,2340000
7.9017475185201445,96.0,16.0,3.0,-1.0,11.588867468545386,0.9506570352693569,5.0,0.4418345,1500000
7.588829878307813,46.0,6.0,4.0,-1.0,11.759793355371237,1.5062758029540713,5.0,2.04652719,1625000
8.36264243156764,39.0,4.0,3.0,-1.0,12.003974821092621,1.188201711861252,5.0,3.170017,1642000
7.783640596221253,55.0,10.0,2.0,4.5,11.824826867300077,1.08028094150831,5.0,2.14202334,2150000
7.560601162768557,61.0,5.0,3.0,4.399999999999999,12.023369015755632,1.1001521025459962,5.0,1.02725604,1600000
8.006700845440367,84.0,13.0,2.0,-1.0,11.58394295220551,0.6837576263421644,5.0,16.97342027,1430000
7.638679823876112,60.0,7.0,1.0,-1.0,11.574547236526397,0.9242719292162489,5.0,9.63597804,1280000
7.847762537473608,24.0,18.0,4.0,4.8,11.35300316131972,1.2365959610028319,5.0,14.73251969,1360000
8.144969417087875,74.0,26.0,1.0,4.1,11.31470620672347,1.5260554687120922,5.0,22.4905832,1525000
7.803026643632217,36.0,1.0,3.0,4.481818181818182,12.023369015755632,0.692853902558156,5.0,0.28118471,1770000
7.23561914106675,67.0,16.0,1.0,3.033333333333333,11.574547236526397,0.892653238549626,5.0,9.70670539,1220000
8.056109659545061,75.0,10.0,2.0,4.300000000000001,12.257397689413704,0.5016108599370559,5.0,20.95269337,1725000
7.584264818389059,74.0,21.0,0.0,4.4,11.516369527372783,0.7616634284799281,5.0,2.50256792,1770000
7.528331766707247,40.0,5.0,0.0,-1.0,11.285698588218382,0.998687045489151,5.0,12.21929969,1256000
7.688455356549944,66.0,12.0,1.0,4.6,11.377563827039552,0.9904794076283966,5.0,11.17285828,2300000
6.887552571664617,74.0,20.0,2.0,-1.0,11.55163643284084,0.9380204071025599,5.0,0.52763178,1250000
7.795234929002173,11.0,16.0,0.0,4.220000000000001,11.285698588218382,1.2307791891298008,5.0,12.88062027,1100000
8.0925452638913,79.0,6.0,3.0,-1.0,12.257397689413704,0.4485925709927209,5.0,21.69130112,2300000
8.21554741194707,23.0,4.0,1.0,-1.0,12.024580744476696,1.268989635430055,5.0,8.87538684,2275000
7.425953657077541,58.0,12.0,2.0,-1.0,11.77779428273175,0.6226424060090506,5.0,3.06503338,1823000
8.412054873292933,65.0,31.0,2.0,-1.0,12.157118717952248,0.5059269950520917,5.0,2.16087164,2198000
7.5688956634069955,57.0,10.0,2.0,4.433333333333334,12.257397689413704,0.6543824226432748,5.0,21.34860991,1710000
8.323851131338817,61.0,13.0,0.0,4.7,11.695322018951824,0.5669893477326189,5.0,0.85674326,2180000
7.938802248154481,58.0,6.0,0.0,4.533333333333333,11.574547236526397,1.0289912949536884,5.0,9.84315939,1750000
7.727094484779842,125.0,19.0,2.0,-1.0,11.525762713771721,0.5261283948192194,5.0,0.46380582,1790000
7.903596289614301,39.0,3.0,2.0,3.3,12.413627319222229,1.6700248036563923,5.0,14.82950429,2000000
7.580189417944541,50.0,10.0,1.0,4.533333333333333,11.896519808660177,1.1595181572054873,5.0,8.13955663,1400000
8.232706009860976,39.0,4.0,3.0,4.444444444444445,12.003974821092621,1.1823205346554715,4.9,3.19140796,1402000
8.731336360533149,60.0,20.0,1.0,-1.0,11.516369527372783,0.8617257207270543,5.0,2.48953181,2395000
7.621684998724611,46.0,2.0,0.0,4.457142857142856,12.04030727557193,1.3186747088357145,5.0,10.85819262,1315000
7.370860166536716,38.0,12.0,0.0,4.466666666666666,11.896519808660177,1.2079818015469987,5.0,7.03902618,1430000
7.736307096548285,26.0,14.0,0.0,-1.0,12.04030727557193,1.1990933310353165,5.0,9.88535923,1803500
7.664346632098617,112.0,34.0,0.0,4.0,12.188784055392631,1.2054052009558853,5.0,2.32802716,2150000
8.165363632473982,99.0,30.0,0.0,4.133333333333333,12.126336557510694,0.9297862009951522,5.0,2.19937832,1750000
7.980023592310645,38.0,3.0,4.0,-1.0,11.819998315213942,1.2652251688353977,3.3,12.50365952,2075000
7.792348924113037,100.0,20.0,3.0,-1.0,11.399980705954095,0.68891600675572,5.0,1.58405927,1125000
7.617759576608505,58.0,8.0,2.0,-1.0,11.568483153888918,1.6412466535085781,5.0,24.61852324,1206000
7.0909098220799835,76.0,14.0,0.0,-1.0,11.29432159369805,1.0316682490338995,5.0,0.86407718,1242000
